External ID,Document Number,Transaction Number,Maximum of Linked Invoice,Type,Date,Period,Terms,Maximum of Due Date/Receive By,Vendor Category,Vendor Name,Vendor Number,Company Name,Vendor VAT Registration Number,Vendor Billing Address,Vendor Billing Country,Bill to City,Bill to State,Bill to Country,Bill to Zip,Source System,Source System Identifier,City,State/Province,Country,Zip,Currency,Memo (Main),Maximum of GMAX Tax Code,Maximum of NetSuite Tax Item,Maximum of Coupa Tax Code,Maximum of External System Tax Code,Maximum of Tax Code (Consolidated),FOP Type,Sum of Asset,Sum of Accounts Payable,Sum of Other Liabilities,Sum of Income,Sum of Expense,Sum of VAT
- None -,223937,221762, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,0,,,,0,
- None -,223938,221763, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,223939,221764, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,0,,,,0,
- None -,223940,221765, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,223992,221817, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,0,,,0,
- None -,223993,221818, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,223994,221819, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,0,,,0,
- None -,223995,221820, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,223996,221821, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,0,,,,0,
- None -,223997,221822, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
